* Measurement data measured by REW V5.20.4
* Source: Lyra R
* Format: 
* Dated: Jul 11, 2022 3:32:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Lyra R
* Measurement: A times B
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB)
225.273804 61.759
226.906235 61.731
228.550491 61.703
230.206665 61.675
231.874832 61.649
233.555099 61.622
235.247543 61.597
236.952240 61.572
238.669296 61.546
240.398788 61.520
242.140823 61.493
243.895477 61.466
245.662842 61.441
247.443008 61.417
249.236084 61.393
251.042145 61.368
252.861298 61.341
254.693634 61.314
256.539246 61.288
258.398224 61.261
260.270691 61.235
262.156708 61.209
264.056396 61.182
265.969849 61.156
267.897186 61.131
269.838470 61.107
271.793823 61.082
273.763367 61.057
275.747162 61.031
277.745331 61.005
279.757996 60.980
281.785248 60.955
283.827179 60.929
285.883911 60.904
287.955536 60.877
290.042175 60.851
292.143951 60.825
294.260956 60.799
296.393280 60.773
298.541077 60.747
300.704437 60.721
302.883453 60.696
305.078278 60.671
307.289001 60.646
309.515747 60.621
311.758636 60.596
314.017761 60.572
316.293274 60.549
318.585266 60.526
320.893860 60.503
323.219177 60.480
325.561371 60.456
327.920532 60.431
330.296783 60.407
332.690247 60.382
335.101044 60.358
337.529327 60.333
339.975189 60.308
342.438782 60.284
344.920227 60.261
347.419647 60.238
349.937195 60.215
352.472992 60.192
355.027161 60.171
357.599823 60.149
360.191132 60.127
362.801239 60.104
365.430237 60.080
368.078308 60.057
370.745544 60.035
373.432129 60.014
376.138184 59.993
378.863831 59.972
381.609222 59.952
384.374512 59.933
387.159851 59.913
389.965363 59.892
392.791199 59.870
395.637512 59.848
398.504456 59.826
401.392181 59.805
404.300842 59.784
407.230560 59.763
410.181519 59.743
413.153870 59.722
416.147766 59.702
419.163330 59.682
422.200775 59.663
425.260223 59.643
428.341827 59.623
431.445770 59.604
434.572205 59.585
437.721283 59.566
440.893188 59.547
444.088074 59.527
447.306122 59.507
450.547485 59.488
453.812347 59.468
457.100861 59.447
460.413208 59.426
463.749542 59.403
467.110077 59.378
470.494934 59.354
473.904327 59.330
477.338440 59.309
480.797424 59.290
484.281494 59.273
487.790802 59.256
491.325531 59.239
494.885864 59.221
498.472015 59.202
502.084137 59.182
505.722443 59.159
509.387115 59.135
513.078369 59.108
516.796326 59.078
520.541260 59.046
524.313293 59.011
528.112671 58.974
531.939575 58.933
535.794250 58.891
539.676819 58.849
543.587524 58.807
547.526611 58.774
551.494202 58.758
555.490540 58.771
559.515869 58.819
563.570374 58.895
567.654236 58.981
571.767700 59.061
575.910950 59.123
580.084229 59.166
584.287781 59.193
588.521790 59.209
592.786438 59.217
597.082031 59.220
601.408752 59.220
605.766785 59.218
610.156433 59.215
614.577881 59.211
619.031372 59.207
623.517151 59.203
628.035400 59.199
632.586426 59.195
637.170410 59.190
641.787598 59.182
646.438232 59.169
651.122620 59.149
655.840942 59.117
660.593445 59.071
665.380371 59.004
670.201965 58.910
675.058533 58.785
679.950256 58.642
684.877441 58.509
689.840332 58.417
694.839172 58.380
699.874268 58.393
704.945862 58.438
710.054199 58.495
715.199524 58.552
720.382141 58.604
725.602356 58.648
730.860352 58.686
736.156494 58.719
741.490967 58.750
746.864136 58.778
752.276245 58.805
757.727539 58.830
763.218323 58.854
768.748901 58.875
774.319580 58.894
779.930603 58.912
785.582275 58.929
791.274902 58.945
797.008789 58.962
802.784241 58.979
808.601562 58.996
814.460999 59.013
820.362915 59.031
826.307617 59.049
832.295410 59.068
838.326538 59.087
844.401428 59.106
850.520325 59.126
856.683533 59.147
862.891418 59.170
869.144287 59.195
875.442444 59.223
881.786255 59.253
888.176025 59.283
894.612122 59.316
901.094849 59.349
907.624573 59.384
914.201599 59.421
920.826294 59.459
927.498962 59.498
934.220032 59.539
940.989746 59.583
947.808533 59.630
954.676758 59.678
961.594727 59.727
968.562866 59.777
975.581482 59.830
982.650940 59.885
989.771606 59.941
996.943909 60.000
1004.168152 60.060
1011.444763 60.122
1018.774109 60.186
1026.156616 60.251
1033.592529 60.319
1041.082397 60.388
1048.626465 60.460
1056.225220 60.533
1063.879028 60.610
1071.588379 60.688
1079.353516 60.768
1087.174927 60.849
1095.053101 60.930
1102.988281 61.013
1110.980957 61.098
1119.031616 61.185
1127.140625 61.272
1135.308350 61.360
1143.535278 61.449
1151.821777 61.539
1160.168335 61.630
1168.575439 61.721
1177.043457 61.812
1185.572754 61.904
1194.163940 61.995
1202.817383 62.088
1211.533447 62.182
1220.312744 62.276
1229.155640 62.370
1238.062622 62.462
1247.034180 62.554
1256.070679 62.646
1265.172729 62.739
1274.340698 62.832
1283.575073 62.926
1292.876343 63.020
1302.245117 63.114
1311.681763 63.209
1321.186768 63.305
1330.760620 63.400
1340.403809 63.496
1350.116943 63.590
1359.900391 63.685
1369.754761 63.780
1379.680542 63.876
1389.678223 63.972
1399.748413 64.069
1409.891602 64.165
1420.108276 64.262
1430.398926 64.360
1440.764160 64.460
1451.204590 64.560
1461.720581 64.660
1472.312866 64.760
1482.981812 64.860
1493.728149 64.961
1504.552368 65.063
1515.454956 65.164
1526.436523 65.265
1537.497681 65.366
1548.639038 65.465
1559.861084 65.566
1571.164429 65.666
1582.549683 65.765
1594.017456 65.863
1605.568359 65.960
1617.203003 66.056
1628.921875 66.153
1640.725708 66.250
1652.615112 66.346
1664.590698 66.442
1676.652954 66.540
1688.802612 66.640
1701.040405 66.741
1713.366821 66.842
1725.782593 66.941
1738.288330 67.039
1750.884644 67.137
1763.572266 67.237
1776.351807 67.339
1789.223999 67.442
1802.189453 67.548
1815.248901 67.655
1828.402954 67.763
1841.652344 67.872
1854.997681 67.980
1868.439819 68.087
1881.979248 68.193
1895.616821 68.299
1909.353271 68.405
1923.189209 68.511
1937.125488 68.616
1951.162720 68.719
1965.301636 68.822
1979.542969 68.922
1993.887573 69.021
2008.336060 69.117
2022.889282 69.210
2037.547974 69.300
2052.312988 69.387
2067.184814 69.471
2082.164551 69.553
2097.252686 69.634
2112.450195 69.712
2127.757812 69.788
2143.176514 69.860
2158.706787 69.928
2174.349609 69.992
2190.105957 70.050
2205.976318 70.103
2221.961670 70.149
2238.062988 70.189
2254.281006 70.224
2270.616455 70.255
2287.070312 70.279
2303.643311 70.298
2320.336426 70.313
2337.150635 70.324
2354.086670 70.329
2371.145264 70.329
2388.327637 70.324
2405.634521 70.316
2423.066650 70.304
2440.625244 70.287
2458.311035 70.265
2476.125000 70.239
2494.068115 70.209
2512.141113 70.176
2530.345215 70.139
2548.681152 70.099
2567.149902 70.056
2585.752441 70.012
2604.489990 69.967
2623.363281 69.921
2642.373291 69.874
2661.520996 69.826
2680.807373 69.777
2700.233643 69.726
2719.800537 69.672
2739.509277 69.616
2759.360840 69.558
2779.356201 69.498
2799.496582 69.436
2819.782959 69.374
2840.216309 69.312
2860.797607 69.251
2881.528076 69.190
2902.408936 69.131
2923.440918 69.071
2944.625488 69.011
2965.963379 68.951
2987.456055 68.892
3009.104492 68.834
3030.909668 68.778
3052.872803 68.723
3074.995117 68.669
3097.277832 68.617
3119.721924 68.565
3142.328613 68.514
3165.099121 68.464
3188.034668 68.415
3211.136475 68.369
3234.405762 68.325
3257.843506 68.283
3281.451172 68.244
3305.229980 68.208
3329.181152 68.174
3353.305664 68.143
3377.604980 68.113
3402.080566 68.086
3426.733398 68.062
3451.564941 68.040
3476.576416 68.021
3501.769043 68.004
3527.144287 67.992
3552.703369 67.985
3578.447754 67.984
3604.378662 67.989
3630.497559 68.000
3656.805664 68.014
3683.304443 68.033
3709.995117 68.055
3736.879150 68.081
3763.958008 68.108
3791.233154 68.138
3818.706055 68.168
3846.377930 68.199
3874.250488 68.234
3902.324951 68.273
3930.602783 68.317
3959.085449 68.365
3987.774658 68.415
4016.671631 68.466
4045.778076 68.520
4075.095459 68.575
4104.625488 68.632
4134.369141 68.690
4164.328613 68.747
4194.504883 68.803
4224.899902 68.858
4255.515137 68.912
4286.352539 68.966
4317.413086 69.019
4348.698730 69.071
4380.211426 69.120
4411.952148 69.165
4443.922852 69.204
4476.125488 69.234
4508.561523 69.255
4541.232422 69.263
4574.140137 69.258
4607.286133 69.240
4640.672363 69.207
4674.300781 69.159
4708.172852 69.095
4742.290039 69.013
4776.654785 68.913
4811.268555 68.796
4846.132812 68.664
4881.250000 68.519
4916.621582 68.360
4952.249512 68.188
4988.135742 68.004
5024.281738 67.813
5060.689941 67.617
5097.361816 67.419
5134.299316 67.220
5171.504395 67.022
5208.979004 66.823
5246.725586 66.627
5284.745605 66.434
5323.041016 66.248
5361.613770 66.064
5400.466309 65.883
5439.600098 65.699
5479.017578 65.513
5518.720703 65.327
5558.711426 65.143
5598.992188 64.963
5639.564941 64.790
5680.431641 64.626
5721.594238 64.471
5763.055176 64.328
5804.816406 64.200
5846.880371 64.086
5889.249512 63.987
5931.925293 63.898
5974.910645 63.820
6018.207520 63.751
6061.817871 63.689
6105.744141 63.634
6149.988770 63.583
6194.554199 63.534
6239.442383 63.486
6284.655762 63.440
6330.196777 63.396
6376.067871 63.355
6422.271484 63.315
6468.810059 63.277
6515.685547 63.243
6562.900879 63.216
6610.458496 63.196
6658.360840 63.183
6706.609863 63.180
6755.208496 63.190
6804.159668 63.215
6853.465332 63.257
6903.128418 63.319
6953.151367 63.404
7003.536621 63.514
7054.287109 63.655
7105.405273 63.830
7156.894043 64.043
7208.755859 64.295
7260.993652 64.588
7313.609863 64.923
7366.607422 65.303
7419.988770 65.733
7473.756836 66.220
7527.914551 66.769
7582.464844 67.382
7637.410645 68.063
7692.754395 68.812
7748.499023 69.628
7804.647949 70.496
7861.203613 71.375
7918.168945 72.184
7975.547363 72.838
8033.341309 73.275
8091.554199 73.458
8150.188965 73.371
8209.249023 73.011
8268.736328 72.393
8328.655273 71.558
8389.007812 70.575
8449.797852 69.526
8511.028320 68.475
8572.703125 67.457
8634.824219 66.485
8697.395508 65.562
8760.420898 64.683
8823.902344 63.834
8887.843750 63.001
8952.249023 62.173
9017.121094 61.393
9082.462891 60.811
9148.278320 60.612
9214.570312 60.722
9281.342773 60.834
9348.599609 60.760
9416.343750 60.526
9484.578125 60.231
9553.307617 59.946
9622.535156 59.706
9692.263672 59.525
9762.498047 59.405
9833.241211 59.339
9904.497070 59.315
9976.269531 59.323
10048.561523 59.357
10121.377930 59.417
10194.721680 59.507
10268.596680 59.623
10343.006836 59.757
10417.956055 59.900
10493.449219 60.044
10569.489258 60.177
10646.080078 60.294
10723.225586 60.381
10800.930664 60.422
10879.198242 60.392
10958.033203 60.272
11037.439453 60.048
11117.420898 59.710
