* Measurement data measured by REW V5.20.4
* Source: Lyra L
* Format: 
* Dated: Jul 11, 2022 3:32:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Lyra L
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB)
225.273804 62.631
226.906235 62.597
228.550491 62.562
230.206665 62.527
231.874832 62.492
233.555099 62.458
235.247543 62.423
236.952240 62.388
238.669296 62.353
240.398788 62.318
242.140823 62.283
243.895477 62.247
245.662842 62.212
247.443008 62.177
249.236084 62.143
251.042145 62.108
252.861298 62.074
254.693634 62.039
256.539246 62.004
258.398224 61.970
260.270691 61.937
262.156708 61.905
264.056396 61.875
265.969849 61.847
267.897186 61.822
269.838470 61.799
271.793823 61.780
273.763367 61.763
275.747162 61.748
277.745331 61.735
279.757996 61.723
281.785248 61.713
283.827179 61.703
285.883911 61.694
287.955536 61.682
290.042175 61.667
292.143951 61.648
294.260956 61.626
296.393280 61.603
298.541077 61.579
300.704437 61.553
302.883453 61.526
305.078278 61.497
307.289001 61.467
309.515747 61.435
311.758636 61.403
314.017761 61.372
316.293274 61.342
318.585266 61.313
320.893860 61.285
323.219177 61.258
325.561371 61.231
327.920532 61.205
330.296783 61.179
332.690247 61.152
335.101044 61.125
337.529327 61.098
339.975189 61.070
342.438782 61.043
344.920227 61.015
347.419647 60.987
349.937195 60.958
352.472992 60.928
355.027161 60.899
357.599823 60.869
360.191132 60.839
362.801239 60.810
365.430237 60.782
368.078308 60.753
370.745544 60.724
373.432129 60.695
376.138184 60.667
378.863831 60.639
381.609222 60.610
384.374512 60.581
387.159851 60.552
389.965363 60.525
392.791199 60.499
395.637512 60.475
398.504456 60.451
401.392181 60.427
404.300842 60.403
407.230560 60.379
410.181519 60.356
413.153870 60.333
416.147766 60.310
419.163330 60.287
422.200775 60.265
425.260223 60.244
428.341827 60.223
431.445770 60.203
434.572205 60.183
437.721283 60.162
440.893188 60.140
444.088074 60.118
447.306122 60.096
450.547485 60.074
453.812347 60.051
457.100861 60.028
460.413208 60.004
463.749542 59.980
467.110077 59.954
470.494934 59.927
473.904327 59.902
477.338440 59.878
480.797424 59.858
484.281494 59.841
487.790802 59.825
491.325531 59.811
494.885864 59.796
498.472015 59.780
502.084137 59.765
505.722443 59.749
509.387115 59.734
513.078369 59.718
516.796326 59.703
520.541260 59.687
524.313293 59.671
528.112671 59.655
531.939575 59.640
535.794250 59.625
539.676819 59.610
543.587524 59.594
547.526611 59.574
551.494202 59.550
555.490540 59.519
559.515869 59.480
563.570374 59.437
567.654236 59.394
571.767700 59.355
575.910950 59.325
580.084229 59.305
584.287781 59.292
588.521790 59.283
592.786438 59.275
597.082031 59.267
601.408752 59.259
605.766785 59.250
610.156433 59.241
614.577881 59.231
619.031372 59.220
623.517151 59.209
628.035400 59.197
632.586426 59.184
637.170410 59.172
641.787598 59.160
646.438232 59.148
651.122620 59.137
655.840942 59.126
660.593445 59.115
665.380371 59.105
670.201965 59.096
675.058533 59.090
679.950256 59.087
684.877441 59.086
689.840332 59.086
694.839172 59.087
699.874268 59.089
704.945862 59.090
710.054199 59.091
715.199524 59.095
720.382141 59.100
725.602356 59.107
730.860352 59.113
736.156494 59.118
741.490967 59.121
746.864136 59.124
752.276245 59.127
757.727539 59.131
763.218323 59.135
768.748901 59.139
774.319580 59.143
779.930603 59.148
785.582275 59.151
791.274902 59.153
797.008789 59.156
802.784241 59.160
808.601562 59.167
814.460999 59.175
820.362915 59.185
826.307617 59.195
832.295410 59.206
838.326538 59.216
844.401428 59.227
850.520325 59.240
856.683533 59.255
862.891418 59.272
869.144287 59.292
875.442444 59.313
881.786255 59.335
888.176025 59.359
894.612122 59.384
901.094849 59.412
907.624573 59.441
914.201599 59.472
920.826294 59.504
927.498962 59.538
934.220032 59.574
940.989746 59.612
947.808533 59.651
954.676758 59.693
961.594727 59.738
968.562866 59.786
975.581482 59.837
982.650940 59.890
989.771606 59.945
996.943909 60.000
1004.168152 60.058
1011.444763 60.118
1018.774109 60.181
1026.156616 60.244
1033.592529 60.308
1041.082397 60.373
1048.626465 60.441
1056.225220 60.512
1063.879028 60.588
1071.588379 60.665
1079.353516 60.744
1087.174927 60.823
1095.053101 60.904
1102.988281 60.986
1110.980957 61.071
1119.031616 61.155
1127.140625 61.239
1135.308350 61.323
1143.535278 61.407
1151.821777 61.492
1160.168335 61.577
1168.575439 61.661
1177.043457 61.744
1185.572754 61.826
1194.163940 61.909
1202.817383 61.993
1211.533447 62.077
1220.312744 62.162
1229.155640 62.246
1238.062622 62.330
1247.034180 62.415
1256.070679 62.499
1265.172729 62.583
1274.340698 62.667
1283.575073 62.750
1292.876343 62.834
1302.245117 62.919
1311.681763 63.003
1321.186768 63.087
1330.760620 63.171
1340.403809 63.254
1350.116943 63.337
1359.900391 63.422
1369.754761 63.507
1379.680542 63.593
1389.678223 63.679
1399.748413 63.766
1409.891602 63.854
1420.108276 63.943
1430.398926 64.033
1440.764160 64.122
1451.204590 64.212
1461.720581 64.302
1472.312866 64.391
1482.981812 64.481
1493.728149 64.571
1504.552368 64.660
1515.454956 64.749
1526.436523 64.838
1537.497681 64.927
1548.639038 65.017
1559.861084 65.107
1571.164429 65.196
1582.549683 65.284
1594.017456 65.372
1605.568359 65.460
